,id,food_entity,disease_entity,sentence,disease_doid,is_cause,is_treat,work_sentence
416,416,allium hirtifolium boiss ,dementia,allium hirtifolium boiss and astragalus hamosus l. are mentioned in iranian traditional medicine documentation as therapy for a kind of dementia with the features and symptoms,DOID:1307,0.0,1.0,allium hirtifolium boiss and astragalus hamosus l. are mentioned in iranian traditional medicine documentation as therapy for a kind of dementia with the features and symptoms
417,417,olive oil,cognitive impairment,"fruits, vegetables, legumes, and olive oil, with regular fish consumption and low consumption of dairy products and meats) has been shown to reduce the incidence of mild cognitive impairment (mci) and, probably, the conversion",,0.0,1.0,"fruits, vegetables, legumes, and olive oil, with regular fish consumption and low consumption of dairy products and meats) has been shown to reduce the incidence of mild cognitive impairment (mci) and, probably, the conversion"
418,418,fruit,cardiovascular diseases,fruit and vegetable intake has been reported as one of the significant protective factors against the development of cardiovascular diseases (cvd,,0.0,1.0,fruit and vegetable intake has been reported as one of the significant protective factors against the development of cardiovascular diseases (cvd
419,419,caffeic acid,alzheimer's disease,"caffeic acid (ca) has shown neuroprotection in alzheimer's disease or cerebral ischaemia; however, it",DOID:10652,0.0,1.0,"caffeic acid (ca) has shown neuroprotection in alzheimer's disease or cerebral ischaemia; however, it"
420,420,cicer arietinum,allergy,chickpea (cicer arietinum) allergy has frequently been reported particularly,,1.0,0.0,chickpea (cicer arietinum) allergy has frequently been reported particularly
421,421,black rice,hypoglycemic,-glucoside (c3g) from black rice was reported to have hypoglycemic effects and an anti-osteoporosis effect,,1.0,0.0,-glucoside (c3g) from black rice was reported to have hypoglycemic effects and an anti-osteoporosis effect
422,422,nuts,chronic diseases,nuts have an appreciable antioxidant load and there is evidence of their positive effects on several chronic diseases incidence and death rates,,0.0,1.0,nuts have an appreciable antioxidant load and there is evidence of their positive effects on several chronic diseases incidence and death rates
423,423,flour,allergic reactions,allergic reactions to wheat may be caused by ingestion of wheat containing foods or inhalation of flour (bakers asthma,,1.0,0.0,allergic reactions to wheat may be caused by ingestion of wheat containing foods or inhalation of flour (bakers asthma
424,424,mainstream cigarette smoke,cardiovascular toxicity,"alpha,beta-unsaturated aldehyde in mainstream cigarette smoke (mcs), the cardiovascular toxicity of inhaled cr is largely",,0.0,0.0,"alpha,beta-unsaturated aldehyde in mainstream cigarette smoke (mcs), the cardiovascular toxicity of inhaled cr is largely"
425,425,ultra-processed foods,cardiovascular disease,of total calories from ultra-processed foods has been associated with several cardiovascular disease risk factors,,1.0,0.0,of total calories from ultra-processed foods has been associated with several cardiovascular disease risk factors
426,426,fruit juice,hyperuricaemia,"effect of fruit and fruit juice intake on hyperuricaemia and gout, and propose potential",,0.0,0.0,"effect of fruit and fruit juice intake on hyperuricaemia and gout, and propose potential"
427,427,opioid drugs,pain,"opioid drugs are widely used to treat chronic pain, but their misuse can lead",,0.0,1.0,"opioid drugs are widely used to treat chronic pain, but their misuse can lead"
428,428,unbalanced diet,neurodegenerative diseases,"investigating the causes of neurodegenerative diseases have been formulated and a condition or risk factor that can contribute is described by the gut-brain axis hypothesis: stress, unbalanced diet, and drugs impact altering microbiota",DOID:1289,1.0,0.0,"investigating the causes of neurodegenerative diseases have been formulated and a condition or risk factor that can contribute is described by the gut-brain axis hypothesis: stress, unbalanced diet, and drugs impact altering microbiota"
429,429,tropical fruits,metabolic syndrome,"such as seaweeds and tropical fruits including indigenous fruits such as davidson's plums are effective in reducing these signs of metabolic syndrome in rats, as well as",DOID:0014667,0.0,1.0,"such as seaweeds and tropical fruits including indigenous fruits such as davidson's plums are effective in reducing these signs of metabolic syndrome in rats, as well as"
430,430,flour,respiratory symptoms,flour mill workers are at high risk of developing respiratory symptoms due to exposure to flour dust in their working environment,,1.0,0.0,flour mill workers are at high risk of developing respiratory symptoms due to exposure to flour dust in their working environment
431,431,rice,ad,and bran of brown rice (br) help maintain good health and prevent ad,,0.0,1.0,and bran of brown rice (br) help maintain good health and prevent ad
432,432,diacetyl-containing butter flavor,bronchiolitis obliterans,diacetyl-containing butter flavor was identified as the cause of an outbreak of bronchiolitis obliterans (bo) and other lung diseases,DOID:2799,1.0,0.0,diacetyl-containing butter flavor was identified as the cause of an outbreak of bronchiolitis obliterans (bo) and other lung diseases
433,433,farmed atlantic salmon,heart and skeletal muscle inflammation,orthoreovirus (prv-1) can cause heart and skeletal muscle inflammation (hsmi) in farmed atlantic salmon,,0.0,0.0,orthoreovirus (prv-1) can cause heart and skeletal muscle inflammation (hsmi) in farmed atlantic salmon
434,434,salt,cystic fibrosis,"xylitol, a potential cystic fibrosis treatment, lowers the salt concentration of airway surface liquid",DOID:1485,0.0,0.0,"xylitol, a potential cystic fibrosis treatment, lowers the salt concentration of airway surface liquid"
435,435,cocoa plant,insulin resistance,"flavanoids in the cocoa plant may ameliorate insulin resistance by improving endothelial function, altering",,0.0,1.0,"flavanoids in the cocoa plant may ameliorate insulin resistance by improving endothelial function, altering"
436,436,green tea from camellia sinensis,memory deficits,"green tea from camellia sinensis plays a neuroprotective role in different neurodegenerative conditions, such as memory deficits in alzheimer disease (ad",,0.0,1.0,"green tea from camellia sinensis plays a neuroprotective role in different neurodegenerative conditions, such as memory deficits in alzheimer disease (ad"
437,437,malnutrition,dbm,a double burden of malnutrition (dbm,,0.0,0.0,a double burden of malnutrition (dbm
438,438,cocoa,diabetes,cocoa is a rich source of dietary polyphenols with demonstrated cardioprotective effects in adults without diabetes,DOID:9351,0.0,0.0,cocoa is a rich source of dietary polyphenols with demonstrated cardioprotective effects in adults without diabetes
439,439,ascorbic acids,toxicity,"antioxidants such as phlorotannins, ascorbic acids, tocopherols, carotenoids from red algae showed toxicity on some cancer cells without",,1.0,0.0,"antioxidants such as phlorotannins, ascorbic acids, tocopherols, carotenoids from red algae showed toxicity on some cancer cells without"
440,440,curcuma longa,pain,"turmeric (curcuma longa) has traditionally been used to treat pain, fever, allergic and inflammatory diseases",,0.0,1.0,"turmeric (curcuma longa) has traditionally been used to treat pain, fever, allergic and inflammatory diseases"
441,441,healthy diets,type diabetes mellitus,ages) levels could affect type diabetes mellitus (t2dm) remission in newly diagnosed patients through the consumption of two healthy diets,DOID:9352,0.0,1.0,ages) levels could affect type diabetes mellitus (t2dm) remission in newly diagnosed patients through the consumption of two healthy diets
442,442,citrus unshiu,fatigue,"citrus unshiu (rutaceae) is an easy-peeling citrus fruit, which has been used as a traditional korean medicine for improving skin elasticity, relieving fatigue and cough, and preventing bronchitis",,0.0,1.0,"citrus unshiu (rutaceae) is an easy-peeling citrus fruit, which has been used as a traditional korean medicine for improving skin elasticity, relieving fatigue and cough, and preventing bronchitis"
443,443,lemon seed,ige-mediated hypersensitivity,report a case of ige-mediated hypersensitivity to lemon seed,DOID:1205,0.0,0.0,report a case of ige-mediated hypersensitivity to lemon seed
444,444,fish oil,cd,fish oil rich in eicosapentaenoic acid (epa) and docosahexaenoic acid (dha) reduces disease activity in patients with cd with raised laboratory markers of,,0.0,1.0,fish oil rich in eicosapentaenoic acid (epa) and docosahexaenoic acid (dha) reduces disease activity in patients with cd with raised laboratory markers of
445,445,milk,atherosclerosis,milk is often seen as a potential promotor of atherosclerosis and coronary heart disease because,DOID:1936,1.0,0.0,milk is often seen as a potential promotor of atherosclerosis and coronary heart disease because
